epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2327.23,1.30699,1.58043,0.00227,0.88283,0.86585,0.95117,0.66489,1.10294,1.99488,0.00241,0.00166016,0.00166016,0.00166016
43,2412.95,1.29035,1.72035,0.00231,0.83879,0.88674,0.95133,0.64776,1.17725,1.96859,0.00261,0.00165983,0.00165983,0.00165983
44,2526.21,1.34166,1.70799,0.00241,0.8595,0.87623,0.94705,0.6424,1.19225,1.85782,0.00266,0.00165948,0.00165948,0.00165948
45,32.4157,1.25306,1.544,0.00214,0.87585,0.88111,0.94877,0.65486,1.18588,0.98867,0.00269,0.00165913,0.00165913,0.00165913
46,60.0221,1.36466,1.60832,0.00225,0.89342,0.87311,0.94737,0.64765,1.20931,0.97601,0.00273,0.00165877,0.00165877,0.00165877
47,88.236,1.32314,1.75619,0.00236,0.87913,0.86252,0.9538,0.65086,1.1532,0.98503,0.00261,0.0016584,0.0016584,0.0016584
48,116.897,1.32344,1.39016,0.00226,0.85502,0.84221,0.94308,0.65182,1.1388,1.01856,0.0026,0.00165802,0.00165802,0.00165802
49,145.315,1.37244,1.57509,0.00228,0.81261,0.85,0.91168,0.64398,1.07694,1.08895,0.00234,0.00165764,0.00165764,0.00165764
50,172.903,1.26771,1.28152,0.00235,0.75623,0.91725,0.89944,0.62454,1.10155,1.18016,0.00243,0.00165724,0.00165724,0.00165724
51,200.667,1.20951,1.43261,0.0021,0.74255,0.92092,0.88876,0.6507,0.99799,1.31855,0.00221,0.00165684,0.00165684,0.00165684
52,228.459,1.24832,1.24793,0.00205,0.77485,0.89979,0.91675,0.64545,1.07258,1.43202,0.00239,0.00165643,0.00165643,0.00165643
53,256.687,1.17098,1.29368,0.00204,0.91901,0.87682,0.95446,0.68113,1.03891,1.62868,0.00228,0.00165601,0.00165601,0.00165601
54,284.828,1.22272,1.17033,0.00191,0.89274,0.91856,0.95862,0.67677,1.08084,1.80837,0.00238,0.00165559,0.00165559,0.00165559
55,312.449,1.328,1.18149,0.00227,0.89656,0.91531,0.96688,0.62825,1.33471,2.17845,0.00303,0.00165515,0.00165515,0.00165515
56,340.067,1.23096,1.22602,0.00227,0.90767,0.90159,0.96807,0.66373,1.16881,2.15195,0.0026,0.00165471,0.00165471,0.00165471
57,367.835,1.19376,1.122,0.00214,0.92029,0.85606,0.96116,0.61629,1.30673,2.10728,0.00296,0.00165426,0.00165426,0.00165426
58,395.368,1.288,1.1634,0.00227,0.8954,0.90513,0.96353,0.632,1.2529,1.95613,0.00286,0.00165381,0.00165381,0.00165381
59,422.511,1.32592,1.12133,0.00263,0.9417,0.85731,0.96935,0.6624,1.13267,1.65999,0.00258,0.00165334,0.00165334,0.00165334
60,450.258,1.40069,1.01458,0.00256,0.90541,0.90536,0.9735,0.66664,1.1367,1.52322,0.00258,0.00165287,0.00165287,0.00165287
61,477.763,1.21215,1.12287,0.00214,0.91085,0.8895,0.96686,0.63109,1.2506,1.34606,0.00278,0.00165238,0.00165238,0.00165238
62,504.913,1.29062,1.15805,0.00241,0.94345,0.85446,0.96802,0.62533,1.26523,1.25257,0.00278,0.00165189,0.00165189,0.00165189
63,532.653,1.38977,1.16787,0.0023,0.89829,0.89946,0.96589,0.59307,1.30657,1.23192,0.00282,0.0016514,0.0016514,0.0016514
64,560.364,1.25071,1.05984,0.00224,0.94857,0.87397,0.97241,0.61744,1.23034,1.1846,0.0027,0.00165089,0.00165089,0.00165089
65,588.569,1.28755,0.96466,0.00218,0.95712,0.86711,0.97569,0.65874,1.15996,1.13453,0.00273,0.00165038,0.00165038,0.00165038
66,616.101,1.26192,1.01042,0.00218,0.9604,0.88842,0.97487,0.66925,1.12907,1.08779,0.00259,0.00164986,0.00164986,0.00164986
67,643.42,1.27873,1.07758,0.00235,0.93307,0.92046,0.9768,0.69786,1.07447,1.02823,0.00246,0.00164933,0.00164933,0.00164933
68,670.828,1.21918,1.01022,0.00212,0.92432,0.91933,0.9766,0.71153,1.01008,1.04785,0.00224,0.00164879,0.00164879,0.00164879
69,698.013,1.22647,0.997,0.00216,0.89239,0.94923,0.96975,0.70713,0.99866,0.97563,0.00221,0.00164824,0.00164824,0.00164824
70,727.947,1.20348,1.09437,0.00206,0.90482,0.93608,0.97558,0.70034,0.99516,0.9808,0.00219,0.00164769,0.00164769,0.00164769
71,756.452,1.17608,0.82719,0.00218,0.95698,0.92856,0.98005,0.70033,1.00481,0.95916,0.00221,0.00164713,0.00164713,0.00164713
72,784.44,1.21075,0.98248,0.00212,0.90641,0.92523,0.97685,0.68306,1.07104,0.9656,0.00239,0.00164656,0.00164656,0.00164656
73,812.93,1.23363,1.01063,0.00202,0.89666,0.90696,0.96969,0.70123,1.00304,0.93327,0.00221,0.00164598,0.00164598,0.00164598
74,842.299,1.17158,0.83711,0.00195,0.89735,0.94,0.97536,0.7124,0.98302,0.88993,0.0022,0.0016454,0.0016454,0.0016454
75,872.205,1.11416,1.00759,0.0021,0.89331,0.89082,0.96957,0.72218,0.9609,0.96748,0.00214,0.0016448,0.0016448,0.0016448
76,900.867,1.22643,0.95012,0.00202,0.878,0.8873,0.97075,0.73735,0.95157,0.9045,0.00211,0.0016442,0.0016442,0.0016442
77,929.652,1.14808,0.82724,0.00195,0.87782,0.91466,0.97483,0.73272,0.95957,0.87405,0.00207,0.00164359,0.00164359,0.00164359
78,957.514,1.09127,0.81668,0.002,0.89248,0.93428,0.9752,0.7322,0.95181,0.88164,0.00204,0.00164297,0.00164297,0.00164297
79,985.289,1.13715,0.85981,0.00196,0.89892,0.93463,0.97485,0.72071,0.99626,0.84217,0.00217,0.00164235,0.00164235,0.00164235
80,1013.19,1.1439,0.89302,0.00204,0.91414,0.91288,0.97146,0.72309,0.9594,0.82576,0.00207,0.00164172,0.00164172,0.00164172
81,1041.33,1.19078,0.80301,0.00201,0.91407,0.9191,0.96346,0.69081,1.00804,0.90823,0.00218,0.00164108,0.00164108,0.00164108
82,1070.17,1.08247,0.84812,0.00202,0.94847,0.90426,0.96775,0.70465,0.98787,0.90297,0.00213,0.00164043,0.00164043,0.00164043
83,1098.8,1.2112,0.89946,0.0021,0.89605,0.92115,0.97198,0.71634,0.98429,0.87205,0.00215,0.00163977,0.00163977,0.00163977
84,1162.29,1.11092,0.76386,0.00209,0.87684,0.91975,0.9716,0.70816,1.0277,0.8964,0.00231,0.00163911,0.00163911,0.00163911
85,1288.82,1.10153,0.74359,0.00185,0.89337,0.93448,0.97628,0.74092,0.9279,0.86186,0.00203,0.00163843,0.00163843,0.00163843
86,1318.42,1.08578,0.70553,0.00186,0.91405,0.92471,0.97625,0.71991,0.98175,0.84983,0.00215,0.00163775,0.00163775,0.00163775
87,1365.29,1.09522,0.80408,0.00191,0.92001,0.92092,0.97805,0.71244,1.00074,0.79263,0.00224,0.00163707,0.00163707,0.00163707
88,1426.23,1.11914,0.79738,0.00197,0.95333,0.90969,0.98089,0.72445,1.00201,0.77935,0.00223,0.00163637,0.00163637,0.00163637
89,1479.02,1.15438,0.66449,0.00216,0.95493,0.92294,0.98325,0.71367,1.01351,0.81944,0.00222,0.00163567,0.00163567,0.00163567
90,1533.41,1.23168,0.73735,0.00208,0.91138,0.91912,0.98276,0.71691,1.01144,0.84921,0.00222,0.00163496,0.00163496,0.00163496
91,1608.94,1.18491,0.7519,0.00196,0.92851,0.88766,0.9781,0.71181,1.0044,0.85222,0.00219,0.00163424,0.00163424,0.00163424
92,1636.11,1.14901,0.73955,0.00211,0.88935,0.92767,0.97768,0.74301,0.90968,0.77626,0.00197,0.00163351,0.00163351,0.00163351
93,1719.95,1.09151,0.80797,0.00191,0.93535,0.92816,0.98128,0.69587,1.07261,0.74001,0.00238,0.00163277,0.00163277,0.00163277
94,1807.36,1.19419,0.78659,0.00208,0.95039,0.93237,0.98348,0.70761,1.04479,0.73252,0.00231,0.00163203,0.00163203,0.00163203
95,1841.52,1.15156,0.70258,0.00195,0.95897,0.89283,0.98013,0.71697,1.00075,0.72465,0.0022,0.00163128,0.00163128,0.00163128
96,1909.16,1.29116,0.75843,0.00218,0.95606,0.8834,0.97764,0.69827,1.04863,0.77152,0.00237,0.00163052,0.00163052,0.00163052
97,1935.59,1.18738,0.70954,0.00199,0.93485,0.89381,0.9779,0.70959,1.03408,0.73115,0.00226,0.00162976,0.00162976,0.00162976
98,1985.26,1.24927,0.78384,0.00225,0.8615,0.96718,0.97606,0.72168,0.9733,0.69638,0.00205,0.00162898,0.00162898,0.00162898
99,2012.56,1.11773,0.66322,0.00206,0.93262,0.91711,0.98239,0.7382,0.90708,0.67174,0.00193,0.0016282,0.0016282,0.0016282
100,2038.74,1.20311,0.68762,0.00199,0.89375,0.96092,0.98219,0.72721,0.93969,0.69879,0.002,0.00162741,0.00162741,0.00162741
101,2064.96,1.22541,0.73609,0.00189,0.88897,0.9537,0.9804,0.66043,1.16828,0.7208,0.00248,0.00162661,0.00162661,0.00162661
102,2091.29,1.163,0.64994,0.00195,0.95057,0.91047,0.98107,0.68114,1.10383,0.67872,0.00238,0.00162581,0.00162581,0.00162581
103,2117.75,1.13551,0.6508,0.00203,0.90384,0.96809,0.98487,0.72608,0.90263,0.62561,0.0019,0.001625,0.001625,0.001625
104,2144.39,1.25606,0.69794,0.00215,0.92873,0.97198,0.98671,0.72574,0.919,0.63105,0.00192,0.00162418,0.00162418,0.00162418
105,2180.36,1.16955,0.63169,0.00176,0.93215,0.94391,0.9816,0.71194,0.97034,0.64736,0.002,0.00162335,0.00162335,0.00162335
106,2225.99,1.11612,0.65365,0.00204,0.88608,0.94931,0.98131,0.74592,0.87395,0.63144,0.00184,0.00162251,0.00162251,0.00162251
107,2260.62,1.33782,0.70781,0.00234,0.88499,0.937,0.97765,0.72017,0.98172,0.68569,0.00212,0.00162167,0.00162167,0.00162167
108,2295.53,1.16927,0.61823,0.00185,0.90097,0.93167,0.97763,0.72606,0.94826,0.67427,0.00203,0.00162082,0.00162082,0.00162082
